2025/02/01 15:56:32 socat[7958] E bind(5, {AF=2 0.0.0.0:32000}, 16): Address already in use
2025/02/01 16:22:35 socat[8873] E connect(5, AF=2 10.96.29.140:31532, 16): Connection timed out
2025/02/01 16:35:31 socat[10105] E connect(5, AF=2 10.96.29.140:31532, 16): Connection timed out
2025/02/01 16:40:27 socat[10301] E connect(5, AF=2 10.96.29.140:31532, 16): Connection timed out
2025/02/01 17:25:15 socat[11846] E connect(5, AF=2 10.96.29.140:31532, 16): Connection timed out
2025/02/01 17:25:15 socat[11845] E connect(5, AF=2 10.96.29.140:31532, 16): Connection timed out
2025/02/01 17:25:15 socat[11847] E connect(5, AF=2 10.96.29.140:31532, 16): Connection timed out
2025/02/01 17:37:51 socat[12364] E bind(5, {AF=2 0.0.0.0:31532}, 16): Address already in use
2025/02/01 17:40:41 socat[12389] E connect(5, AF=2 10.96.29.140:31532, 16): Connection timed out
2025/02/01 17:40:41 socat[12390] E connect(5, AF=2 10.96.29.140:31532, 16): Connection timed out
2025/02/01 17:40:41 socat[12391] E connect(5, AF=2 10.96.29.140:31532, 16): Connection timed out
